Nama Produk,Kategori,Harga,gambar,deskripsi,keyword
Vas Bunga,Dekor,100000,/KUMPULANGAMBAR/vasbunga.jpeg,Deskripsi Vas Bunga 1,ramah lingkungan,dekorasi
Lampu Gantung,Dekor,250000,file:/path/to/image2.jpg,Deskripsi Lampu Gantung 1,daur ulang,dekorasi
Meja Kayu,Furniture,500000,file:/path/to/image3.jpg,Deskripsi Meja Kayu 1,ramah lingkungan,furnitur
Boneka Rajut,Mainan,75000,file:/path/to/image4.jpg,Deskripsi Boneka Rajut 1,daur ulang,mainan
Sepatu Tenun,Fashion,300000,file:/path/to/image5.jpg,Deskripsi Sepatu Tenun 1,ramah lingkungan,pakaian
Kerajinan Bambu,Dekor,120000,file:/path/to/image6.jpg,Deskripsi Kerajinan Bambu 1,daur ulang,dekorasi
Miniatur Sepeda,Miniature,80000,file:/path/to/image7.jpg,Deskripsi Miniatur Sepeda 1,ramah lingkungan,miniatur
Puzzle Kayu,Mainan,60000,file:/path/to/image8.jpg,Deskripsi Puzzle Kayu 1,daur ulang,mainan
Topi Rajut,Fashion,50000,file:/path/to/image9.jpg,Deskripsi Topi Rajut 1,ramah lingkungan,pakaian
Lukisan Daur Ulang,Dekor,150000,file:/path/to/image10.jpg,Deskripsi Lukisan Daur Ulang 1,daur ulang,dekorasi
Meja Lipat,Furniture,200000,file:/path/to/image11.jpg,Deskripsi Meja Lipat 1,ramah lingkungan,furnitur
Mainan Edukatif,Mainan,90000,file:/path/to/image12.jpg,Deskripsi Mainan Edukatif 1,daur ulang,mainan
Baju Tenun,Fashion,180000,file:/path/to/image13.jpg,Deskripsi Baju Tenun 1,ramah lingkungan,pakaian
Kerajinan Kain Flanel,Dekor,80000,file:/path/to/image14.jpg,Deskripsi Kerajinan Kain Flanel 1,daur ulang,dekorasi
Rak Kayu,Furniture,300000,file:/path/to/image15.jpg,Deskripsi Rak Kayu 1,ramah lingkungan,furnitur
Boneka Anak,Mainan,40000,file:/path/to/image16.jpg,Deskripsi Boneka Anak 1,daur ulang,mainan
Celana Rajut,Fashion,120000,file:/path/to/image17.jpg,Deskripsi Celana Rajut 1,ramah lingkungan,pakaian
Lampu Hias,Dekor,280000,file:/path/to/image18.jpg,Deskripsi Lampu Hias 1,daur ulang,dekorasi
Kursi Taman,Furniture,600000,file:/path/to/image19.jpg,Deskripsi Kursi Taman 1,ramah lingkungan,furnitur
Miniatur Pesawat,Miniature,100000,file:/path/to/image20.jpg,Deskripsi Miniatur Pesawat 1,daur ulang,miniatur
Kemeja Tenun,Fashion,250000,file:/path/to/image21.jpg,Deskripsi Kemeja Tenun 1,ramah lingkungan,pakaian
Pajangan Keramik,Dekor,75000,file:/path/to/image22.jpg,Deskripsi Pajangan Keramik 1,daur ulang,dekorasi
Meja Belajar,Furniture,400000,file:/path/to/image23.jpg,Deskripsi Meja Belajar 1,ramah lingkungan,furnitur
Mainan Puzzle,Mainan,50000,file:/path/to/image24.jpg,Deskripsi Mainan Puzzle 1,daur ulang,mainan
Gaun Batik,Fashion,350000,file:/path/to/image25.jpg,Deskripsi Gaun Batik 1,ramah lingkungan,pakaian
Kerajinan Rotan,Dekor,90000,file:/path/to/image26.jpg,Deskripsi Kerajinan Rotan 1,daur ulang,dekorasi
Rak Buku,Furniture,180000,file:/path/to/image27.jpg,Deskripsi Rak Buku 1,ramah lingkungan,furnitur
Boneka Beruang,Mainan,70000,file:/path/to/image28.jpg,Deskripsi Boneka Beruang 1,daur ulang,mainan
Topi Tenun,Fashion,80000,file:/path/to/image29.jpg,Deskripsi Topi Tenun 1,ramah lingkungan,pakaian
Lampu Daur Ulang,Dekor,120000,file:/path/to/image30.jpg,Deskripsi Lampu Daur Ulang 1,daur ulang,dekorasi
Kursi Lipat,Furniture,150000,file:/path/to/image31.jpg,Deskripsi Kursi Lipat 1,ramah lingkungan,furnitur
Kartu Puzzle,Mainan,30000,file:/path/to/image32.jpg,Deskripsi Kartu Puzzle 1,daur ulang,mainan
Blouse Rajut,Fashion,90000,file:/path/to/image33.jpg,Deskripsi Blouse Rajut 1,ramah lingkungan,pakaian
Patung Kayu,Dekor,200000,file:/path/to/image34.jpg,Deskripsi Patung Kayu 1,daur ulang,dekorasi
Meja Kerja,Furniture,250000,file:/path/to/image35.jpg,Deskripsi Meja Kerja 1,ramah lingkungan,furnitur
Mainan Kayu,Mainan,80000,file:/path/to/image36.jpg,Deskripsi Mainan Kayu 1,daur ulang,mainan
Celana Batik,Fashion,110000,file:/path/to/image37.jpg,Deskripsi Celana Batik 1,ramah lingkungan,pakaian
Bunga Kain,Dekor,60000,file:/path/to/image38.jpg,Deskripsi Bunga Kain 1,daur ulang,dekorasi
Lemari Kayu,Furniture,350000,file:/path/to/image39.jpg,Deskripsi Lemari Kayu 1,ramah lingkungan,furnitur
Boneka Lutut,Mainan,45000,file:/path/to/image40.jpg,Deskripsi Boneka Lutut 1,daur ulang,mainan
Miniatur Buku,Miniature,60000,file:/path/to/image41.jpg,Deskripsi Miniatur Buku 1,ramah lingkungan,miniatur
Miniatur Piano,Miniature,75000,file:/path/to/image42.jpg,Deskripsi Miniatur Piano 1,daur ulang,miniatur
Miniatur Mobil,Miniature,90000,file:/path/to/image43.jpg,Deskripsi Miniatur Mobil 1,ramah lingkungan,miniatur
Miniatur Sepatu,Miniature,55000,file:/path/to/image44.jpg,Deskripsi Miniatur Sepatu 1,daur ulang,miniatur
Miniatur Gitar,Miniature,100000,file:/path/to/image45.jpg,Deskripsi Miniatur Gitar 1,ramah lingkungan,miniatur
Miniatur Jam,Miniature,30000,file:/path/to/image46.jpg,Deskripsi Miniatur Jam 1,daur ulang,miniatur
Miniatur Televisi,Miniature,120000,file:/path/to/image47.jpg,Deskripsi Miniatur Televisi 1,ramah lingkungan,miniatur
Miniatur Kamera,Miniature,80000,file:/path/to/image48.jpg,Deskripsi Miniatur Kamera 1,daur ulang,miniatur
Miniatur Komputer,Miniature,95000,file:/path/to/image49.jpg,Deskripsi Miniatur Komputer 1,ramah lingkungan,miniatur
